subject,label,value,sample
S2,1,1.645664,1226
S2,1,1.640539,1227
S2,1,1.634132,1228
S2,1,1.614912,1229
S2,1,1.591848,1230
S2,1,1.558534,1231
S2,1,1.561096,1232
S2,1,1.53547,1233
S2,1,1.616194,1234
S2,1,1.585442,1235
S2,1,1.57391,1236
S2,1,1.567503,1237
S2,1,1.558534,1238
S2,1,1.550846,1239
S2,1,1.547002,1240
S2,1,1.538032,1241
S2,1,1.532907,1242
S2,1,1.527782,1243
S2,1,1.523938,1244
S2,1,1.522656,1245
S2,1,1.532907,1246
S2,1,1.529063,1247
S2,1,1.525219,1248
S2,1,1.521375,1249
S2,1,1.51625,1250
S2,1,1.513687,1251
S2,1,1.508562,1252
S2,1,1.50728,1253
S2,1,1.502155,1254
S2,1,1.500874,1255
S2,1,1.502155,1256
S2,1,1.500874,1257
S2,1,1.498311,1258
S2,1,1.49703,1259
S2,1,1.49703,1260
S2,1,1.485498,1261
S2,1,1.481654,1262
S2,1,1.47781,1263
S2,1,1.475247,1264
S2,1,1.472685,1265
S2,1,1.470122,1266
S2,1,1.46884,1267
S2,1,1.464996,1268
S2,1,1.464996,1269
S2,1,1.462434,1270
S2,1,1.45859,1271
S2,1,1.453465,1272
S2,1,1.450902,1273
S2,1,1.445776,1274
S2,1,1.443214,1275
S2,1,1.441933,1276
S2,1,1.43937,1277
S2,1,1.443214,1278
S2,1,1.43937,1279
S2,1,1.42015,1280
S2,1,1.435526,1281
S2,1,1.434245,1282
S2,1,1.403493,1283
S2,1,1.412462,1284
S2,1,1.41118,1285
S2,1,1.393242,1286
S2,1,1.390679,1287
S2,1,1.366334,1288
S2,1,1.341989,1289
S2,1,1.320206,1290
S2,1,1.280485,1291
S2,1,1.233075,1292
S2,1,1.224106,1293
S2,1,1.24717,1294
S2,1,1.235638,1295
S2,1,1.235638,1296
S2,1,1.242045,1297
S2,1,1.259984,1298
S2,1,1.257421,1299
S2,1,1.235638,1300
S2,1,1.224106,1301
S2,1,1.133132,1302
S2,1,1.153633,1303
S2,1,1.226669,1304
S2,1,1.27536,1305
S2,1,1.279203,1306
S2,1,1.231794,1307
S2,1,1.262546,1308
S2,1,1.284329,1309
S2,1,1.306111,1310
S2,1,1.318925,1311
S2,1,1.336863,1312
S2,1,1.347114,1313
S2,1,1.36249,1314
S2,1,1.371459,1315
S2,1,1.366334,1316
S2,1,1.36249,1317
S2,1,1.341989,1318
S2,1,1.359927,1319
S2,1,1.248451,1320
S2,1,1.149789,1321
S2,1,1.120318,1322
S2,1,1.148508,1323
S2,1,1.149789,1324
S2,1,1.174134,1325
S2,1,1.129288,1326
S2,1,1.138257,1327
S2,1,1.142101,1328
S2,1,1.136976,1329
S2,1,1.25614,1330
S2,1,1.347114,1331
S2,1,1.359927,1332
S2,1,1.261265,1333
S2,1,1.207449,1334
S2,1,1.17029,1335
S2,1,1.115193,1336
S2,1,1.076753,1337
S2,1,1.274078,1338
S2,1,1.372741,1339
S2,1,1.374022,1340
S2,1,1.25614,1341
S2,1,1.234357,1342
S2,1,1.259984,1343
S2,1,1.252295,1344
S2,1,1.125444,1345
S2,1,1.104942,1346
S2,1,1.259984,1347
S2,1,1.28561,1348
S2,1,1.276641,1349
S2,1,1.186948,1350
S2,1,1.374022,1351
S2,1,1.435526,1352
S2,1,1.421431,1353
S2,1,1.416306,1354
S2,1,1.436807,1355
S2,1,1.38171,1356
S2,1,1.165165,1357
S2,1,1.089566,1358
S2,1,1.071628,1359
S2,1,1.060096,1360
S2,1,1.037032,1361
S2,1,1.04472,1362
S2,1,1.048564,1363
S2,1,1.07419,1364
S2,1,1.081878,1365
S2,1,1.087004,1366
S2,1,1.039595,1367
S2,1,1.048564,1368
S2,1,1.058815,1369
S2,1,1.067784,1370
S2,1,1.09341,1371
S2,1,1.087004,1372
S2,1,1.125444,1373
S2,1,1.192073,1374
S2,1,1.279203,1375
S2,1,1.293298,1376
S2,1,1.290735,1377
S2,1,1.313799,1378
S2,1,1.286891,1379
S2,1,1.280485,1380
S2,1,1.267671,1381
S2,1,1.24717,1382
S2,1,1.254858,1383
S2,1,1.293298,1384
S2,1,1.316362,1385
S2,1,1.311237,1386
S2,1,1.306111,1387
S2,1,1.303549,1388
S2,1,1.298423,1389
S2,1,1.293298,1390
S2,1,1.295861,1391
S2,1,1.293298,1392
S2,1,1.289454,1393
S2,1,1.284329,1394
S2,1,1.279203,1395
S2,1,1.27536,1396
S2,1,1.270234,1397
S2,1,1.267671,1398
S2,1,1.263827,1399
S2,1,1.258702,1400
S2,1,1.257421,1401
S2,1,1.251014,1402
S2,1,1.248451,1403
S2,1,1.243326,1404
S2,1,1.240764,1405
S2,1,1.23692,1406
S2,1,1.233075,1407
S2,1,1.229232,1408
S2,1,1.224106,1409
S2,1,1.220262,1410
S2,1,1.221544,1411
S2,1,1.203605,1412
S2,1,1.192073,1413
S2,1,1.148508,1414
S2,1,1.107505,1415
S2,1,1.113912,1416
S2,1,1.11263,1417
S2,1,1.108786,1418
S2,1,1.111349,1419
S2,1,1.116474,1420
S2,1,1.117756,1421
S2,1,1.117756,1422
S2,1,1.122881,1423
S2,1,1.122881,1424
S2,1,1.15107,1425
S2,1,1.194636,1426
S2,1,1.222825,1427
S2,1,1.218981,1428
S2,1,1.212574,1429
S2,1,1.184385,1430
S2,1,1.199761,1431
S2,1,1.202324,1432
S2,1,1.203605,1433
S2,1,1.201042,1434
S2,1,1.186948,1435
S2,1,1.184385,1436
S2,1,1.186948,1437
S2,1,1.18951,1438
S2,1,1.193354,1439
S2,1,1.190792,1440
S2,1,1.185666,1441
S2,1,1.184385,1442
S2,1,1.186948,1443
S2,1,1.188229,1444
S2,1,1.19848,1445
S2,1,1.186948,1446
S2,1,1.181822,1447
S2,1,1.172853,1448
S2,1,1.167728,1449
S2,1,1.162602,1450
S2,1,1.158758,1451
S2,1,1.153633,1452
S2,1,1.152352,1453
S2,1,1.152352,1454
S2,1,1.15107,1455
S2,1,1.15107,1456
S2,1,1.148508,1457
S2,1,1.147226,1458
S2,1,1.142101,1459
S2,1,1.139538,1460
S2,1,1.136976,1461
S2,1,1.136976,1462
S2,1,1.133132,1463
S2,1,1.129288,1464
S2,1,1.125444,1465
S2,1,1.122881,1466
S2,1,1.122881,1467
S2,1,1.117756,1468
S2,1,1.120318,1469
S2,1,1.115193,1470
S2,1,1.111349,1471
S2,1,1.107505,1472
S2,1,1.104942,1473
S2,1,1.101098,1474
S2,1,1.098536,1475
S2,1,1.09341,1476
S2,1,1.089566,1477
S2,1,1.088285,1478
S2,1,1.081878,1479
S2,1,1.078035,1480
S2,1,1.07419,1481
S2,1,1.070346,1482
S2,1,1.066502,1483
S2,1,1.065221,1484
S2,1,1.060096,1485
S2,1,1.057533,1486
S2,1,1.057533,1487
S2,1,1.052408,1488
S2,1,1.051126,1489
S2,1,1.046001,1490
S2,1,1.039595,1491
S2,1,1.037032,1492
S2,1,1.031907,1493
S2,1,1.030625,1494
S2,1,1.026781,1495
S2,1,1.022937,1496
S2,1,1.019093,1497
S2,1,1.015249,1498
S2,1,1.013968,1499
S2,1,1.012687,1500
S2,1,1.00628,1501
S2,1,1.004999,1502
S2,1,0.999873,1503
S2,1,0.996029,1504
S2,1,0.993467,1505
S2,1,0.990904,1506
S2,1,0.985779,1507
S2,1,0.984497,1508
S2,1,0.979372,1509
S2,1,0.975528,1510
S2,1,0.974247,1511
S2,1,0.969121,1512
S2,1,0.966559,1513
S2,1,0.965277,1514
S2,1,0.958871,1515
S2,1,0.956308,1516
S2,1,0.953745,1517
S2,1,0.951183,1518
S2,1,0.947339,1519
S2,1,0.944776,1520
S2,1,0.971585,1521
S2,1,0.969022,1522
S2,1,0.965178,1523
S2,1,0.963897,1524
S2,1,0.960053,1525
S2,1,0.956209,1526
S2,1,0.951084,1527
S2,1,0.948521,1528
S2,1,0.954928,1529
S2,1,0.940833,1530
S2,1,0.930582,1531
S2,1,0.912644,1532
S2,1,0.9088,1533
S2,1,0.906237,1534
S2,1,0.892142,1535
S2,1,0.884454,1536
S2,1,0.857546,1537
S2,1,0.86139,1538
S2,1,0.857546,1539
S2,1,0.848577,1540
S2,1,0.847296,1541
S2,1,0.843452,1542
S2,1,0.840889,1543
S2,1,0.838326,1544
S2,1,0.833201,1545
S2,1,0.83192,1546
S2,1,0.835764,1547
S2,1,0.848577,1548
S2,1,0.878048,1549
S2,1,0.848577,1550
S2,1,0.846014,1551
S2,1,0.858828,1552
S2,1,0.894705,1553
S2,1,0.902393,1554
S2,1,0.893424,1555
S2,1,0.875485,1556
S2,1,0.862672,1557
S2,1,0.863953,1558
S2,1,0.843452,1559
S2,1,0.84217,1560
S2,1,0.843452,1561
S2,1,0.837045,1562
S2,1,0.84217,1563
S2,1,0.84217,1564
S2,1,0.84217,1565
S2,1,0.84217,1566
S2,1,0.837045,1567
S2,1,0.838326,1568
S2,1,0.833201,1569
S2,1,0.830638,1570
S2,1,0.83192,1571
S2,1,0.830638,1572
S2,1,0.826795,1573
S2,1,0.825513,1574
S2,1,0.82295,1575
S2,1,0.820388,1576
S2,1,0.821669,1577
S2,1,0.819107,1578
S2,1,0.817825,1579
S2,1,0.816544,1580
S2,1,0.813981,1581
S2,1,0.8127,1582
S2,1,0.8127,1583
S2,1,0.811419,1584
S2,1,0.808856,1585
S2,1,0.806293,1586
S2,1,0.806293,1587
S2,1,0.810137,1588
S2,1,0.806293,1589
S2,1,0.805012,1590
S2,1,0.802449,1591
S2,1,0.799887,1592
S2,1,0.798605,1593
S2,1,0.798605,1594
S2,1,0.797324,1595
S2,1,0.796043,1596
S2,1,0.805012,1597
S2,1,0.820388,1598
S2,1,0.819107,1599
S2,1,0.805012,1600
S2,1,0.792199,1601
S2,1,0.775541,1602
S2,1,0.764009,1603
S2,1,0.757603,1604
S2,1,0.769135,1605
S2,1,0.766572,1606
S2,1,0.766572,1607
S2,1,0.771697,1608
S2,1,0.77426,1609
S2,1,0.785792,1610
S2,1,0.783229,1611
S2,1,0.780667,1612
S2,1,0.779385,1613
S2,1,0.776823,1614
S2,1,0.775541,1615
S2,1,0.771697,1616
S2,1,0.769135,1617
S2,1,0.767853,1618
S2,1,0.767853,1619
S2,1,0.767853,1620
S2,1,0.766572,1621
S2,1,0.764009,1622
S2,1,0.762728,1623
S2,1,0.760165,1624
S2,1,0.761447,1625
S2,1,0.758884,1626
S2,1,0.758884,1627
S2,1,0.756321,1628
S2,1,0.75504,1629
S2,1,0.753759,1630
S2,1,0.751196,1631
S2,1,0.747352,1632
S2,1,0.746071,1633
S2,1,0.746071,1634
S2,1,0.743508,1635
S2,1,0.742227,1636
S2,1,0.738383,1637
S2,1,0.738383,1638
S2,1,0.737101,1639
S2,1,0.734539,1640
S2,1,0.733257,1641
S2,1,0.731976,1642
S2,1,0.729413,1643
S2,1,0.726851,1644
S2,1,0.725569,1645
S2,1,0.724288,1646
S2,1,0.721725,1647
S2,1,0.723007,1648
S2,1,0.719163,1649
S2,1,0.717881,1650
S2,1,0.717881,1651
S2,1,0.715319,1652
S2,1,0.714037,1653
S2,1,0.712756,1654
S2,1,0.708912,1655
S2,1,0.707631,1656
S2,1,0.706349,1657
S2,1,0.703787,1658
S2,1,0.702505,1659
S2,1,0.703787,1660
S2,1,0.701224,1661
