subject,label,value,sample
S2,1,35.81,1226
S2,1,35.81,1227
S2,1,35.81,1228
S2,1,35.81,1229
S2,1,35.81,1230
S2,1,35.81,1231
S2,1,35.81,1232
S2,1,35.81,1233
S2,1,35.81,1234
S2,1,35.81,1235
S2,1,35.83,1236
S2,1,35.83,1237
S2,1,35.83,1238
S2,1,35.83,1239
S2,1,35.83,1240
S2,1,35.83,1241
S2,1,35.83,1242
S2,1,35.83,1243
S2,1,35.83,1244
S2,1,35.83,1245
S2,1,35.83,1246
S2,1,35.83,1247
S2,1,35.83,1248
S2,1,35.83,1249
S2,1,35.83,1250
S2,1,35.83,1251
S2,1,35.83,1252
S2,1,35.83,1253
S2,1,35.83,1254
S2,1,35.83,1255
S2,1,35.81,1256
S2,1,35.81,1257
S2,1,35.81,1258
S2,1,35.81,1259
S2,1,35.81,1260
S2,1,35.81,1261
S2,1,35.81,1262
S2,1,35.81,1263
S2,1,35.84,1264
S2,1,35.84,1265
S2,1,35.84,1266
S2,1,35.84,1267
S2,1,35.83,1268
S2,1,35.83,1269
S2,1,35.83,1270
S2,1,35.83,1271
S2,1,35.81,1272
S2,1,35.81,1273
S2,1,35.81,1274
S2,1,35.81,1275
S2,1,35.83,1276
S2,1,35.83,1277
S2,1,35.83,1278
S2,1,35.83,1279
S2,1,35.83,1280
S2,1,35.83,1281
S2,1,35.83,1282
S2,1,35.83,1283
S2,1,35.81,1284
S2,1,35.81,1285
S2,1,35.81,1286
S2,1,35.81,1287
S2,1,35.81,1288
S2,1,35.81,1289
S2,1,35.81,1290
S2,1,35.81,1291
S2,1,35.83,1292
S2,1,35.83,1293
S2,1,35.83,1294
S2,1,35.83,1295
S2,1,35.81,1296
S2,1,35.81,1297
S2,1,35.81,1298
S2,1,35.81,1299
S2,1,35.81,1300
S2,1,35.81,1301
S2,1,35.81,1302
S2,1,35.81,1303
S2,1,35.81,1304
S2,1,35.81,1305
S2,1,35.81,1306
S2,1,35.81,1307
S2,1,35.81,1308
S2,1,35.81,1309
S2,1,35.81,1310
S2,1,35.81,1311
S2,1,35.81,1312
S2,1,35.81,1313
S2,1,35.81,1314
S2,1,35.81,1315
S2,1,35.79,1316
S2,1,35.79,1317
S2,1,35.79,1318
S2,1,35.79,1319
S2,1,35.81,1320
S2,1,35.81,1321
S2,1,35.81,1322
S2,1,35.81,1323
S2,1,35.81,1324
S2,1,35.81,1325
S2,1,35.81,1326
S2,1,35.81,1327
S2,1,35.83,1328
S2,1,35.83,1329
S2,1,35.83,1330
S2,1,35.83,1331
S2,1,35.79,1332
S2,1,35.79,1333
S2,1,35.79,1334
S2,1,35.79,1335
S2,1,35.83,1336
S2,1,35.83,1337
S2,1,35.83,1338
S2,1,35.83,1339
S2,1,35.83,1340
S2,1,35.83,1341
S2,1,35.83,1342
S2,1,35.83,1343
S2,1,35.83,1344
S2,1,35.83,1345
S2,1,35.83,1346
S2,1,35.83,1347
S2,1,35.81,1348
S2,1,35.81,1349
S2,1,35.81,1350
S2,1,35.81,1351
S2,1,35.81,1352
S2,1,35.81,1353
S2,1,35.81,1354
S2,1,35.81,1355
S2,1,35.83,1356
S2,1,35.83,1357
S2,1,35.83,1358
S2,1,35.83,1359
S2,1,35.87,1360
S2,1,35.87,1361
S2,1,35.87,1362
S2,1,35.87,1363
S2,1,35.83,1364
S2,1,35.83,1365
S2,1,35.83,1366
S2,1,35.83,1367
S2,1,35.81,1368
S2,1,35.81,1369
S2,1,35.81,1370
S2,1,35.81,1371
S2,1,35.83,1372
S2,1,35.83,1373
S2,1,35.83,1374
S2,1,35.83,1375
S2,1,35.83,1376
S2,1,35.83,1377
S2,1,35.83,1378
S2,1,35.83,1379
S2,1,35.79,1380
S2,1,35.79,1381
S2,1,35.79,1382
S2,1,35.79,1383
S2,1,35.81,1384
S2,1,35.81,1385
S2,1,35.81,1386
S2,1,35.81,1387
S2,1,35.79,1388
S2,1,35.79,1389
S2,1,35.79,1390
S2,1,35.79,1391
S2,1,35.77,1392
S2,1,35.77,1393
S2,1,35.77,1394
S2,1,35.77,1395
S2,1,35.79,1396
S2,1,35.79,1397
S2,1,35.79,1398
S2,1,35.79,1399
S2,1,35.79,1400
S2,1,35.79,1401
S2,1,35.79,1402
S2,1,35.79,1403
S2,1,35.81,1404
S2,1,35.81,1405
S2,1,35.81,1406
S2,1,35.81,1407
S2,1,35.79,1408
S2,1,35.79,1409
S2,1,35.79,1410
S2,1,35.79,1411
S2,1,35.79,1412
S2,1,35.79,1413
S2,1,35.79,1414
S2,1,35.79,1415
S2,1,35.77,1416
S2,1,35.77,1417
S2,1,35.77,1418
S2,1,35.77,1419
S2,1,35.75,1420
S2,1,35.75,1421
S2,1,35.75,1422
S2,1,35.75,1423
S2,1,35.77,1424
S2,1,35.77,1425
S2,1,35.77,1426
S2,1,35.77,1427
S2,1,35.77,1428
S2,1,35.77,1429
S2,1,35.77,1430
S2,1,35.77,1431
S2,1,35.77,1432
S2,1,35.77,1433
S2,1,35.77,1434
S2,1,35.77,1435
S2,1,35.75,1436
S2,1,35.75,1437
S2,1,35.75,1438
S2,1,35.75,1439
S2,1,35.75,1440
S2,1,35.75,1441
S2,1,35.75,1442
S2,1,35.75,1443
S2,1,35.77,1444
S2,1,35.77,1445
S2,1,35.77,1446
S2,1,35.77,1447
S2,1,35.75,1448
S2,1,35.75,1449
S2,1,35.75,1450
S2,1,35.75,1451
S2,1,35.75,1452
S2,1,35.75,1453
S2,1,35.75,1454
S2,1,35.75,1455
S2,1,35.75,1456
S2,1,35.75,1457
S2,1,35.75,1458
S2,1,35.75,1459
S2,1,35.75,1460
S2,1,35.75,1461
S2,1,35.75,1462
S2,1,35.75,1463
S2,1,35.75,1464
S2,1,35.75,1465
S2,1,35.75,1466
S2,1,35.75,1467
S2,1,35.73,1468
S2,1,35.73,1469
S2,1,35.73,1470
S2,1,35.73,1471
S2,1,35.75,1472
S2,1,35.75,1473
S2,1,35.75,1474
S2,1,35.75,1475
S2,1,35.75,1476
S2,1,35.75,1477
S2,1,35.75,1478
S2,1,35.75,1479
S2,1,35.73,1480
S2,1,35.73,1481
S2,1,35.73,1482
S2,1,35.73,1483
S2,1,35.71,1484
S2,1,35.71,1485
S2,1,35.71,1486
S2,1,35.71,1487
S2,1,35.71,1488
S2,1,35.71,1489
S2,1,35.71,1490
S2,1,35.71,1491
S2,1,35.71,1492
S2,1,35.71,1493
S2,1,35.71,1494
S2,1,35.71,1495
S2,1,35.73,1496
S2,1,35.73,1497
S2,1,35.73,1498
S2,1,35.73,1499
S2,1,35.71,1500
S2,1,35.71,1501
S2,1,35.71,1502
S2,1,35.71,1503
S2,1,35.71,1504
S2,1,35.71,1505
S2,1,35.71,1506
S2,1,35.71,1507
S2,1,35.71,1508
S2,1,35.71,1509
S2,1,35.71,1510
S2,1,35.71,1511
S2,1,35.68,1512
S2,1,35.68,1513
S2,1,35.68,1514
S2,1,35.68,1515
S2,1,35.71,1516
S2,1,35.71,1517
S2,1,35.71,1518
S2,1,35.71,1519
S2,1,35.68,1520
S2,1,35.68,1521
S2,1,35.68,1522
S2,1,35.68,1523
S2,1,35.68,1524
S2,1,35.68,1525
S2,1,35.68,1526
S2,1,35.68,1527
S2,1,35.68,1528
S2,1,35.68,1529
S2,1,35.68,1530
S2,1,35.68,1531
S2,1,35.68,1532
S2,1,35.68,1533
S2,1,35.68,1534
S2,1,35.68,1535
S2,1,35.66,1536
S2,1,35.66,1537
S2,1,35.66,1538
S2,1,35.66,1539
S2,1,35.68,1540
S2,1,35.68,1541
S2,1,35.68,1542
S2,1,35.68,1543
S2,1,35.68,1544
S2,1,35.68,1545
S2,1,35.68,1546
S2,1,35.68,1547
S2,1,35.71,1548
S2,1,35.71,1549
S2,1,35.71,1550
S2,1,35.71,1551
S2,1,35.71,1552
S2,1,35.71,1553
S2,1,35.71,1554
S2,1,35.71,1555
S2,1,35.71,1556
S2,1,35.71,1557
S2,1,35.71,1558
S2,1,35.71,1559
S2,1,35.71,1560
S2,1,35.71,1561
S2,1,35.71,1562
S2,1,35.71,1563
S2,1,35.73,1564
S2,1,35.73,1565
S2,1,35.73,1566
S2,1,35.73,1567
S2,1,35.71,1568
S2,1,35.71,1569
S2,1,35.71,1570
S2,1,35.71,1571
S2,1,35.71,1572
S2,1,35.71,1573
S2,1,35.71,1574
S2,1,35.71,1575
S2,1,35.68,1576
S2,1,35.68,1577
S2,1,35.68,1578
S2,1,35.68,1579
S2,1,35.71,1580
S2,1,35.71,1581
S2,1,35.71,1582
S2,1,35.71,1583
S2,1,35.71,1584
S2,1,35.71,1585
S2,1,35.71,1586
S2,1,35.71,1587
S2,1,35.71,1588
S2,1,35.71,1589
S2,1,35.71,1590
S2,1,35.71,1591
S2,1,35.66,1592
S2,1,35.66,1593
S2,1,35.66,1594
S2,1,35.66,1595
S2,1,35.68,1596
S2,1,35.68,1597
S2,1,35.68,1598
S2,1,35.68,1599
S2,1,35.68,1600
S2,1,35.68,1601
S2,1,35.68,1602
S2,1,35.68,1603
S2,1,35.66,1604
S2,1,35.66,1605
S2,1,35.66,1606
S2,1,35.66,1607
S2,1,35.71,1608
S2,1,35.71,1609
S2,1,35.71,1610
S2,1,35.71,1611
S2,1,35.71,1612
S2,1,35.71,1613
S2,1,35.71,1614
S2,1,35.71,1615
S2,1,35.68,1616
S2,1,35.68,1617
S2,1,35.68,1618
S2,1,35.68,1619
S2,1,35.68,1620
S2,1,35.68,1621
S2,1,35.68,1622
S2,1,35.68,1623
S2,1,35.71,1624
S2,1,35.71,1625
S2,1,35.71,1626
S2,1,35.71,1627
S2,1,35.66,1628
S2,1,35.66,1629
S2,1,35.66,1630
S2,1,35.66,1631
S2,1,35.71,1632
S2,1,35.71,1633
S2,1,35.71,1634
S2,1,35.71,1635
S2,1,35.71,1636
S2,1,35.71,1637
S2,1,35.71,1638
S2,1,35.71,1639
S2,1,35.71,1640
S2,1,35.71,1641
S2,1,35.71,1642
S2,1,35.71,1643
S2,1,35.71,1644
S2,1,35.71,1645
S2,1,35.71,1646
S2,1,35.71,1647
S2,1,35.71,1648
S2,1,35.71,1649
S2,1,35.71,1650
S2,1,35.71,1651
S2,1,35.73,1652
S2,1,35.73,1653
S2,1,35.73,1654
S2,1,35.73,1655
S2,1,35.71,1656
S2,1,35.71,1657
S2,1,35.71,1658
S2,1,35.71,1659
S2,1,35.71,1660
S2,1,35.71,1661
S2,1,35.71,1662
S2,1,35.71,1663
S2,1,35.71,1664
S2,1,35.71,1665
S2,1,35.71,1666
S2,1,35.71,1667
S2,1,35.73,1668
S2,1,35.73,1669
S2,1,35.73,1670
